#,Name,Contry,Vehicle,ET,MPH,Track
1,Elshan Aslanov,RU,VAZ 2110,8.1120,175.00,Racepark 
56,Wayne Muscat,MT,Honda Civic,9.4360,149.35,Hal-Far 
57,Witold Karalow,POL,Honda Civic Coupe,9.4390,151.73,Wittstock 
58,Yasir Dar,ENG,Honda Civic,9.4440,156.39,Santa Pod 
59,Malte Ulrich,GER,VW Polo,9.4560,157.81,Finsterwalde 
60,Paul Lynas,ENG,Seat Arosa,9.4610,150.55,Santa Pod 
61,Björn Fechner,GER,VW Polo,9.4660,159.64,Finsterwalde  
62,Dennis Skiby,DK,Toyota Starlet,9.4670,150.17,Santa Pod  
63,Mikael Edstrand,SWE,Saab 93,9.4690,152.85,Kjula Dragway 
64,Helder Pereira,POR,Seat Ibiza,9.4760,149.67,Santa Pod 
65,José Realista,POR,VW Polo,9.4780,141.72,Santa Pod 
66,Takis Vouros,GRE,Fiat Uno,9.4870,149.75, Polykastro  
67,Irving Schembri,MT,Opel Astra,9.4990,153.27,Hal-Far 
68,Yana Sotova,Ru,Honda Civic,9.5000,139.54,Nizhny Novgorod 
69,Dan Frost,ENG,Honda Civic,9.5050,156.31,Santa Pod 
70,Kiel Priestman,ENG,Honda Civic,9.5090,147.00,Santa Pod 
71,Giannis Giannopoulos,GRE,Honda Civic,9.5110,148.93,Thivia 
72,Diogo Inacio,POR,VW Golf,9.5110,144.75,Santa Pod 
73,Dimitris Batsios,GRE,VW Golf,9.5350,149.72,Thiva 
74,Oksana Yakovleva,RU,Honda Civic,9.5430,149.22,Nizhny Novgorod 
75,Glenn Robson,ENG,Honda Civic,9.5440,161.35,Santa Pod 
76,Felix Dahna,MT,Toyota Starlet,9.5490,148.64,Hal-Far 
77,Spyros Floratos,GRE,Honda Civic,9.5520,151.95,Tympaki 
78,Keith Pace,MT,Toyota Starlet,9.5580,148.34,Hal-Far 
79,Craig Evans,UK,Vauxhall Corsa,9.5630,149.67, Santa Pod 
80,Jonathan Grech,MT,Toyota Starlet,9.5640,150.25,Hal-Far  
81,Michał Surowiński,POL,Toyota Celica,9.5700,162.03,Finsterwalde 
82,Stavros Louridas,GRE,Citroen Saxo,9.5810,153.10,Tympaki 
83,Douglas Attard,MT,Honda Civic,9.5840,155.62,Hal-Far 
84,Fotis Xondropoulos,GRE,Peugeot 106,9.5860,147.25,Agrino
85,Lee Ross,ENG,VW Jetta,9.5920,156.84,Santa Pod 
86,Robert Uhr,SWE,Saab 9-3,9.6020,151.09,Orsa 
87,Joachim Schumacher,GER,Opel Corsa,9.6030,152.94,Kiskunlacháza 
88,Jakob Hansen,DK,Toyota Starlet,9.6070,147.19,Kjula Dragway 
89,Boba Kettler,GER,VW Polo,9.6170,147.06,Bitburg 
90,Nicholas Hackiere,FRA,Citroen AX,9.6250,151.57,Santa Pod 
91,Tasos Labrakis,GRE,Honda Civic,9.6260,158.64, Agrinio
92,Dawid Gezella,POL,Opel Corsa,9.6300,147.94,Pila
93,Aggelos Papailias,GRE,Honda Civic,9.6480,154.37,Kopaida 
94,Adam Gile,RO,Opel Astra,9.6480,145.82,Kiskunlacháza 
95,Glen Caruana,MT,Toyota Starlet,9.6500,150.01,Hal-Far 
96,Douglas Gemmell,ENG,Honda Civic,9.6570,157.95,Santa Pod 
97,Chris Pekitu,MT,Toyota Starlet,9.6580,145.16,Hal-Far 
98,Sandor Vogelsinger,HUN,Honda Civic,9.6650,150.03,Kunmadaras 
99,Reangelo Bentura,NLD,Honda Civic,9.6690,151.14,Drachten 
100,Conrad Vella,MT,Opel Astra,9.6770,152.96,Ħal-Far  
101,Maxim Pyritkov,RU,Lada Samara,9.6800,150.33,Yevpatoriia 
102,Dimitris Zachos,GRE,Seat Leon,9.6990,155.88,Agrinio
103,Kamil Krzemień,POL,Mazda 323,9.7060,152.02,Finsterwalde 
104,Christoph Wiesener,GER,Honda Civic,9.7090,152.90,Finsterwalde 
105,Giorgos Papadopoulos,GRE,Toyota Starlet,9.7090,149.75,Polykastro  
106,Robert Lord,ENG,VW Golf,9.7150,152.00,Santa Pod 
107,Nikos Gasparatos,GRE,Honda Civic,9.7260,149.65,Polykastro 
108,Lakwvos Markesinis,GRE,Honda Civic,9.7420,149.12,Thiva 
109,Lefteris Diamadis,GRE,Citreon AX,9.7450,140.41,Tympaki 
110,Wayne Scicluna,MT,Toyota Starlet,9.7490,145.45,Hal-Far Raceway
111,Jacob Bailey,UK,VW Jetta,9.7500,153.17,Santa Pod
112,Michael Clarke,ENG,Ford Fiesta,9.7610,152.59,Santa Pod 
113,Maruli Vean Haastert,NLD,Honda Civic,9.7660,153.80,Drachten 
114,Iwan Haisma,NLD,VW Lupo,9.7730,143.84,Drachten 
115,Daniel Micallef,MT,Ford Focus,9.7800,148.78,Hal-Far 
116,Chris Sutton,ENG,Honda Civic,9.7870,149.63,Santa Pod 
117,Adam Buckley,ENG,Honda Civic,9.7910,145.70,Santa Pod 
118,Nicklas Ekwall,SWE,Honda Crx,9.7940,151.28,Tierp 
119,Falco Rumpel,GER,VW Golf,9.7990,148.86,Finsterwalde 
120,Igor Baranov,RU,Honda Civic,9.8010,150.02,Grozny 
121,Xristos Soulos,GRE,Honda Civic,9.8100,152.58,Tympaki 
122,Tim Bechtold,GER,Opel Corsa,9.8150,151.03,Hockenheim  
123,Martin Vella,MT,Toyota Starlet,9.8160,140.00,Hal-Far 
124,John Spiteri,MT,Honda Integra,9.8210,159.04,Hal-Far 
125,Ray Saunders,ENG,Honda Civic,9.8240,155.26,Santa Pod 
126,Sergey Starshinov,RU,Lada Samara,9.8260,150.99,Zaporozhye 
127,Marvin Micallef,MT,Toyota Windy,9.8390,145.96,Hal-Far  
128,Scott Parkin,ENG,Seat Arosa,9.8470,142.99,Santa Pod 
129,Pete Wilson,ENG,Vauxhall Corsa,9.8560,153.16,Santa Pod 
130,Mirel Stoinea,ROM,VW Golf,9.8590,142.57,Arad
131,Rafal Kakol,POL,VW Golf,9.8670,147.07,Pila 
132,Andy Speck,ENG,Vauxhall Tigra,9.8680,148.63,Santa Pod 
133,Dimitris Batsios,GRE,VW Golf,9.8700,143.57,Thiva  
134,Terry Newton,UK,Ford Escort Van ,9.8730,150.12,Santa Pod
135,Gino De Jong,NLD,Honda Civic,9.8730,144.34,Santa Pod 
136,Paul Gatt,MT,Toyota Glanza,9.8770,148.41,Hal-Far  
137,Ste Powell,ENG,Vauxhall Tigra,9.8810,150.00,Santa Pod 
138,Piotr Sawczenko,POL,Honda Civic,9.8810,144.76,Finsterwalde  
139,Andrzej Majchrzyk,POL,Honda CRX,9.8820,136.47,Pila (N/A)
140,Panos Petropoulos,GRE,Opel Corsa,9.8880,150.12,Tympaki 
141,Pawel Pietrzak,POL,Seat Arosa,9.8940,143.92,Santa Pod
142,Manajah Wells,UK,Honda Civic,9.8960,132.98,Santa Pod NA
143,Magomedsalim Bayrambekov,RU,Honda Civic,9.8990,126.87,Grozny 
144,Giannis Zois,GRE,Citroen Saxo,9.9080,149.92,Thiva 
145,Miguel Montebello,MT,Honda Civic,9.9100,152.73,Hal-Far Raceway 
146,Jimmy Debattista,MT,Toyota Glanza,9.9180,148.55,Hal-Far 
147,Kalle Uhr,SWE,Opel Corsa,9.9190,142.90,Kjula Dragway 
148,Rohit Baldew,NLD,Honda Civic,9.9210,147.67,Santa Pod 
149,Sandra Frank,GER,Mitsubishi Colt,9.9210,143.96,Finsterwalde  
150,Boys Boy Buijs,NLD,Honda Civic,9.9250,137.33,Santa Pod (N/A)
151,Lukasz Laskowski,POL,Honda Civic,9.9260,152.57,Kiskunlacháza  
152,Arshaad Bhoelan,NLD,Honda Integra,9.9300,150.63,Drachten 
153,Robert Byrne,IRE,Renault 5,9.9340,142.56,Santa Pod  
154,Malcolm Parnis,MT,Honda Civic,9.9390,142.51,Hal-Far Raceway
155,Takis Vouros,GRE,Fiat Punto,9.9430,144.09,Polykastro 
156,Dimitris Karafoulidis,GRE,Toyota Startlet,9.9440,149.99,Polykastro 
157,Luke Muscat,MT,Opel Corsa,9.9440,144.09,Ħal-Far 
158,Georgiy Garakishiev,RU,Mitsubishi Mirage,9.9490,145.77,N.Novgorod 
159,Giorgos Liakos,GRE,Seat Leon,9.9490,145.15,Thiva 
160,Winesh Akloe,NLD,Honda Integra,9.9500,150.12,Santa Pod 
161,Carl Goldsmith,UK,VW Golf,9.9590,146.23,Santa Pod 
162,Reandly Winklaar,NLD,Honda Civic,9.9640,149.63,Drachten 
163,Matt Davison,UK,Honda Civic,9.9680,145.73,Santa Pod
164,Luis Silva,POR,Seat Ibiza,9.9680,134.43,Santa Pod
165,José Realista,POR,Seat Ibiza,9.9810,141.14,Santa Pod 
166,George Halimourdas,GRE,Peugeot 106,9.9870,150.02,Thiva  
167,Dean Ciantar,MT,Toyota Starlet,9.9870,145.70,Hal-Far 
168,Catriel Dimech,MT,Honda Civic,9.9880,142.35,Hal-Far
169,Giorgos Fotiadis,GRE,Honda Civic,9.9920,151.31,Thiva 
170,Giannis Kafetzis,GRE,Honda Civic,9.9920,145.02,Polykastro  
171,Štefan Holakovský,SVK,Honda Civic,9.9940,151.60,Kiskunlacháza 
172,Vasilis Chamouridis,GRE,Honda CRX,9.9970,147.74,Thiva 
173,Andy Nichols,ENG,MG ZR,9.9990,153.11,Santa Pod 
